SiteID,15178,Site Timezone,-6,Data Timezone,-6,Longitude,-94.854095,Latitude,34.647316
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),,,,
2011,1,1,0,0,8.023,,,,
2011,1,1,0,5,7.861,,,,
2011,1,1,0,10,7.669,,,,
2011,1,1,0,15,7.657,,,,
2011,1,1,0,20,7.76,,,,
2011,1,1,0,25,7.861,,,,
2011,1,1,0,30,7.965,,,,
2011,1,1,0,35,8.136,,,,
2011,1,1,0,40,8.255,,,,
2011,1,1,0,45,8.3,,,,
2011,1,1,0,50,8.261,,,,
2011,1,1,0,55,8.126,,,,
2011,1,1,1,0,7.977,,,,
2011,1,1,1,5,7.873,,,,
2011,1,1,1,10,7.873,,,,
2011,1,1,1,15,8.068,,,,
2011,1,1,1,20,8.313,,,,
2011,1,1,1,25,8.514,,,,
2011,1,1,1,30,8.63,,,,
2011,1,1,1,35,8.538,,,,
2011,1,1,1,40,8.255,,,,
2011,1,1,1,45,8.044,,,,
2011,1,1,1,50,7.901,,,,
2011,1,1,1,55,7.794,,,,
2011,1,1,2,0,7.623,,,,
2011,1,1,2,5,7.351,,,,
2011,1,1,2,10,7.144,,,,
2011,1,1,2,15,6.994,,,,
2011,1,1,2,20,6.787,,,,
2011,1,1,2,25,6.61,,,,
2011,1,1,2,30,6.527,,,,
2011,1,1,2,35,6.549,,,,
2011,1,1,2,40,6.671,,,,
2011,1,1,2,45,6.75,,,,
2011,1,1,2,50,6.805,,,,
2011,1,1,2,55,6.915,,,,
2011,1,1,3,0,6.997,,,,
2011,1,1,3,5,7.061,,,,
2011,1,1,3,10,7.043,,,,
2011,1,1,3,15,7.006,,,,
2011,1,1,3,20,6.927,,,,
2011,1,1,3,25,6.75,,,,
2011,1,1,3,30,6.491,,,,
2011,1,1,3,35,6.21,,,,
2011,1,1,3,40,5.856,,,,
2011,1,1,3,45,5.505,,,,
2011,1,1,3,50,5.191,,,,
2011,1,1,3,55,4.888,,,,
2011,1,1,4,0,4.824,,,,
2011,1,1,4,5,4.934,,,,
2011,1,1,4,10,5.09,,,,
2011,1,1,4,15,5.258,,,,
2011,1,1,4,20,5.322,,,,
2011,1,1,4,25,5.212,,,,
2011,1,1,4,30,5.001,,,,
2011,1,1,4,35,4.772,,,,
2011,1,1,4,40,4.449,,,,
2011,1,1,4,45,4.043,,,,
2011,1,1,4,50,3.726,,,,
2011,1,1,4,55,3.494,,,,
2011,1,1,5,0,3.402,,,,
2011,1,1,5,5,3.32,,,,
2011,1,1,5,10,3.164,,,,
2011,1,1,5,15,3.054,,,,
2011,1,1,5,20,2.945,,,,
2011,1,1,5,25,2.835,,,,
2011,1,1,5,30,2.856,,,,
2011,1,1,5,35,2.865,,,,
2011,1,1,5,40,2.728,,,,
2011,1,1,5,45,2.548,,,,
2011,1,1,5,50,2.413,,,,
2011,1,1,5,55,2.304,,,,
2011,1,1,6,0,2.197,,,,
2011,1,1,6,5,2.264,,,,
2011,1,1,6,10,2.475,,,,
2011,1,1,6,15,2.713,,,,
2011,1,1,6,20,2.981,,,,
2011,1,1,6,25,3.292,,,,
2011,1,1,6,30,3.625,,,,
2011,1,1,6,35,3.906,,,,
2011,1,1,6,40,4.074,,,,
2011,1,1,6,45,4.187,,,,
2011,1,1,6,50,4.278,,,,
2011,1,1,6,55,4.348,,,,
2011,1,1,7,0,4.361,,,,
2011,1,1,7,5,4.293,,,,
2011,1,1,7,10,4.141,,,,
2011,1,1,7,15,4.016,,,,
2011,1,1,7,20,3.976,,,,
2011,1,1,7,25,3.952,,,,
2011,1,1,7,30,3.952,,,,
2011,1,1,7,35,3.973,,,,
2011,1,1,7,40,4.062,,,,
2011,1,1,7,45,4.168,,,,
2011,1,1,7,50,4.245,,,,
2011,1,1,7,55,4.26,,,,
2011,1,1,8,0,4.263,,,,
2011,1,1,8,5,4.269,,,,
2011,1,1,8,10,4.254,,,,
2011,1,1,8,15,4.251,,,,
2011,1,1,8,20,4.312,,,,
2011,1,1,8,25,4.327,,,,
2011,1,1,8,30,4.367,,,,
2011,1,1,8,35,4.513,,,,
2011,1,1,8,40,4.666,,,,
2011,1,1,8,45,4.766,,,,
2011,1,1,8,50,4.791,,,,
2011,1,1,8,55,4.693,,,,
2011,1,1,9,0,4.571,,,,
2011,1,1,9,5,4.55,,,,
2011,1,1,9,10,4.565,,,,
2011,1,1,9,15,4.531,,,,
2011,1,1,9,20,4.464,,,,
2011,1,1,9,25,4.477,,,,
2011,1,1,9,30,4.525,,,,
2011,1,1,9,35,4.531,,,,
2011,1,1,9,40,4.498,,,,
2011,1,1,9,45,4.464,,,,
2011,1,1,9,50,4.495,,,,
2011,1,1,9,55,4.538,,,,
2011,1,1,10,0,4.51,,,,
2011,1,1,10,5,4.474,,,,
2011,1,1,10,10,4.483,,,,
2011,1,1,10,15,4.51,,,,
2011,1,1,10,20,4.553,,,,
2011,1,1,10,25,4.544,,,,
2011,1,1,10,30,4.522,,,,
2011,1,1,10,35,4.547,,,,
2011,1,1,10,40,4.568,,,,
2011,1,1,10,45,4.58,,,,
2011,1,1,10,50,4.596,,,,
2011,1,1,10,55,4.577,,,,
2011,1,1,11,0,4.55,,,,
2011,1,1,11,5,4.535,,,,
2011,1,1,11,10,4.51,,,,
2011,1,1,11,15,4.492,,,,
2011,1,1,11,20,4.513,,,,
2011,1,1,11,25,4.586,,,,
2011,1,1,11,30,4.629,,,,
2011,1,1,11,35,4.651,,,,
2011,1,1,11,40,4.638,,,,
2011,1,1,11,45,4.602,,,,
2011,1,1,11,50,4.562,,,,
2011,1,1,11,55,4.55,,,,
2011,1,1,12,0,4.574,,,,
2011,1,1,12,5,4.651,,,,
2011,1,1,12,10,4.702,,,,
2011,1,1,12,15,4.736,,,,
2011,1,1,12,20,4.751,,,,
2011,1,1,12,25,4.718,,,,
