Objective,gen1,gen4,gen6,bus1
-264572,95.0333,5.42822,4.90584,2.71275
-264216,95.1415,5.09785,4.77245,2.71356
-263531,95.3591,4.62943,4.33899,2.71519
-263229,95.4604,4.51429,4.05052,2.71595
-263347,95.4251,4.63196,4.08613,2.71569
-263571,95.3686,5.04396,3.95426,2.71526
-263385,95.4437,5.19864,3.53859,2.71583
-263046,95.5604,5.12531,3.15678,2.7167
-262403,95.7647,4.68392,2.75131,2.71824
-262024,95.8759,4.26219,2.68323,2.71907
-261933,95.8998,4.11205,2.71862,2.71925
-261880,95.9221,4.17277,2.58251,2.71942
-261742,95.9646,4.05579,2.51928,2.71973
-261633,95.9756,3.56044,2.89415,2.71982
-261305,96.0638,3.05587,2.98315,2.72048
-260906,96.1984,2.91961,2.5859,2.72149
-260538,96.2745,2.91042,2.15161,2.72206
-260402,96.3036,2.92703,1.9699,2.72228
-262446,95.7129,4.04216,3.48757,2.71785
-262093,95.829,3.86867,3.19232,2.71872
-262017,95.8465,3.70437,3.26379,2.71885
-262040,95.8269,3.50025,3.51017,2.7187
-261766,95.9011,3.08972,3.57307,2.71926
-261453,95.9853,2.60298,3.66248,2.71989
-261160,96.0622,2.11562,3.77981,2.72047
-260932,96.1253,1.79565,3.80886,2.72094
-260950,96.1202,1.82087,3.80702,2.7209
-260943,96.121,1.78808,3.8317,2.72091
-260654,96.1727,1.53907,3.74009,2.7213
-260294,96.2374,1.36925,3.486,2.72178
-260291,96.2446,1.48442,3.36063,2.72183
-260545,96.2041,1.69557,3.44377,2.72153
-260768,96.1735,1.96771,3.42462,2.7213
-260761,96.1816,2.08384,3.2934,2.72136
-260658,96.1985,2.00963,3.24845,2.72149
-260565,96.2035,1.75696,3.40279,2.72153
-259596,96.377,1.28618,2.73173,2.72283
-259523,96.3967,1.36714,2.55803,2.72298
-259419,96.4218,1.43086,2.36537,2.72316
-259317,96.4444,1.45774,2.21402,2.72333
-259456,96.4256,1.63118,2.19787,2.72319
-259784,96.3747,1.92878,2.2792,2.72281
-260091,96.3248,2.16855,2.39646,2.72244
-259909,96.3548,2.03427,2.31874,2.72266
-260219,96.3043,2.27472,2.43879,2.72228
-260489,96.2553,2.39541,2.63688,2.72192
-260603,96.2335,2.42577,2.74227,2.72175
-264156,95.2042,5.82802,3.9201,2.71403
-264210,95.1793,5.72785,4.09886,2.71384
-264268,95.1622,5.78965,4.11198,2.71372
-264164,95.1984,5.77262,3.98877,2.71399
-264042,95.2333,5.62355,3.98117,2.71425
-264025,95.2336,5.51744,4.06948,2.71425
-263862,95.2892,5.47669,3.89245,2.71467
-263606,95.3751,5.3781,3.64879,2.71531
-263626,95.3626,5.28746,3.77243,2.71522
-263744,95.313,5.15577,4.07149,2.71485
-263565,95.3576,4.81643,4.18749,2.71518
-263346,95.4122,4.39964,4.33037,2.71559
-263146,95.4598,3.98099,4.50143,2.71595
-263010,95.4938,3.72849,4.58442,2.7162
-263120,95.4598,3.81992,4.63665,2.71595
-263203,95.432,3.8521,4.71545,2.71574
-263031,95.4829,3.66681,4.67794,2.71612
-262800,95.5592,3.55946,4.47785,2.71669
-262884,95.539,3.73583,4.40629,2.71654
-263197,95.4431,4.00694,4.543,2.71582
-263123,95.465,3.93194,4.52283,2.71599
-263438,95.3682,4.20464,4.66146,2.71526
-263723,95.2853,4.53674,4.69734,2.71464
-263803,95.2669,4.71125,4.62059,2.7145
-263796,95.2684,4.69384,4.6295,2.71451
-263795,95.2575,4.49639,4.83701,2.71443
-264036,95.1728,4.51649,5.14231,2.7138
-264045,95.1797,4.69696,4.96405,2.71385
-264286,95.0949,4.71643,5.2703,2.71321
-264734,94.9456,4.90413,5.6798,2.71209
-265134,94.8109,5.04168,6.07635,2.71108
-265370,94.734,5.16966,6.26116,2.7105
-265404,94.7221,5.17889,6.29863,2.71042
-265432,94.7146,5.22194,6.29096,2.71036
-265508,94.6994,5.43184,6.17233,2.71025
-265442,94.7277,5.51038,5.99877,2.71046
-265216,94.8033,5.42675,5.78146,2.71102
-265036,94.8677,5.43026,5.53358,2.71151
-264913,94.9137,5.46792,5.32714,2.71185
-264814,94.9464,5.41804,5.24481,2.7121
-264845,94.9358,5.42779,5.27686,2.71202
-265003,94.885,5.52668,5.38694,2.71164
-265260,94.8017,5.67287,5.58074,2.71101
-265441,94.7452,5.8147,5.6763,2.71059
-265484,94.7355,5.9131,5.63031,2.71052
-265572,94.7107,6.0284,5.62761,2.71033
-265629,94.6925,6.06416,5.66689,2.71019
-265635,94.6921,6.09891,5.63901,2.71019
-265659,94.6914,6.23359,5.52863,2.71019
-265654,94.6996,6.35074,5.39881,2.71025
-265651,94.7053,6.4309,5.30983,2.71029
-265861,94.6431,6.6576,5.35556,2.70982
-266240,94.5279,7.0086,5.49824,2.70896
-266600,94.4162,7.30201,5.67636,2.70812
-266925,94.3104,7.4764,5.93198,2.70733
-267110,94.2489,7.56128,6.09436,2.70687
-267798,94.1523,10.1808,4.2588,2.70614
-268516,93.9168,10.5448,4.8482,2.70438
-269157,93.6987,10.7282,5.523,2.70274
-269812,93.4688,10.7968,6.3392,2.70102
-272752,92.3686,9.89262,11.2822,2.69276
-272524,92.4469,9.84066,11.0281,2.69335
-272363,92.5119,9.97082,10.6718,2.69384
-272612,92.4343,10.1711,10.7985,2.69326
-272379,92.5252,10.307,10.3386,2.69394
-272008,92.6798,10.6978,9.42228,2.6951
-272039,92.7079,11.3854,8.73696,2.69531
-273695,92.0812,10.7564,11.6485,2.69061
-273753,92.0621,10.787,11.6955,2.69047
-273917,92.0124,10.9423,11.7536,2.69009
-274141,91.9439,11.1395,11.8482,2.68958
-274326,91.8852,11.2695,11.9623,2.68914
-274626,91.7783,11.2707,12.3677,2.68834
-274410,91.8525,11.2256,12.1233,2.68889
-274262,91.9134,11.3624,11.7768,2.68935
-274523,91.8318,11.5692,11.9133,2.68874
-274302,91.9187,11.7115,11.4631,2.68939
-273944,92.0694,12.1086,10.5566,2.69052
-273986,92.0936,12.8024,9.88098,2.6907
-274206,92.0442,13.3113,9.64079,2.69033
-274092,92.0718,13.0811,9.72959,2.69054
-273885,92.1243,12.7065,9.84498,2.69093
-274204,92.0168,12.8219,10.1564,2.69013
-274641,91.8725,13.0241,10.5349,2.68904
-274768,91.8266,13.0148,10.7175,2.6887
-274585,91.8771,12.7507,10.7474,2.68908
-274366,91.9442,12.5551,10.657,2.68958
-274020,92.0574,12.3804,10.3733,2.69043
-273565,92.1964,11.9663,10.1932,2.69147
-273631,92.1717,11.9456,10.3043,2.69129
-273905,92.0924,12.2706,10.3328,2.69069
-273758,92.1475,12.3169,10.0841,2.69111
-273315,92.2951,12.1336,9.67717,2.69221
-272875,92.4369,11.8649,9.36403,2.69328
-272398,92.586,11.4967,9.10688,2.6944
-272301,92.5921,10.9926,9.50772,2.69444
-271989,92.6735,10.4675,9.63975,2.69505
-271619,92.7961,10.3008,9.31397,2.69597
-270919,93.0505,10.3818,8.27837,2.69788
-270193,93.3042,10.2919,7.38977,2.69978
-269771,93.4465,10.1474,6.97015,2.70085
-276752,91.2253,14.8909,11.4259,2.68419
-277994,90.7888,15.0105,12.9848,2.68092
-279470,90.2766,15.2675,14.7159,2.67707
-280169,90.0425,15.5372,15.3788,2.67532
-280419,89.9667,15.7694,15.472,2.67475
-280592,89.9085,15.838,15.6353,2.67431
-280838,89.8284,15.9713,15.828,2.67371
-281123,89.7331,16.0811,16.0978,2.673
-276606,91.2519,14.4393,11.7045,2.68439
